raw_product,proposed_category,matched_rules,proposed_is_medicine,forecast_eligible,mapping_status,review_notes,row_count,accepted_rows,estimated_contract_rows,quantity,total_trade_price,net_cost,net_income,first_sale_date,last_sale_date,years_seen,sample_areas
FOLDER 14PTS LONG,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,9,9,5,7.6832,9798.96,16795.46,6996.52,2023-01-21,2025-11-29,2023;2025,Government;Pagbilao
BOND PAPER A4 80GSM (DOUBLE A),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,40.0,9600.0,11400.0,1800.0,2023-11-20,2023-11-20,2023,Government
3D LATERAL FILING CABINET 90(W)X130(H)X45(D),equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,9500.0,10840.0,1340.0,2023-11-20,2023-11-20,2023,Government
GIGIL SAW WIRE #20,electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,10.0,9000.0,22500.0,13500.0,2024-08-27,2024-08-27,2024,Hospital
TOILET TISSUE,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,7,7,0,90.5,8750.0,11394.0,7054.0,2021-10-18,2023-06-22,2021;2022;2023,Government;Laguna;Quezon
DISHWASHING LIQUID 40ML CONCENTRATE (JOY),janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,800.0,8408.0,12000.0,3592.0,2023-05-23,2023-05-23,2023,Government
ECG PAPER 80X20,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,5,5,0,152.0,7600.0,17690.0,10090.0,2023-01-23,2025-12-13,2023;2025,Government
SKIN STAPLER 35 - SURGITECH,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,20.0,7600.0,16000.0,8400.0,2021-09-30,2022-02-28,2021;2022,Supplies
TOUNGE CLIP STERILE - UNIMEX,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,50.0,7500.0,24000.0,16500.0,2021-08-31,2021-08-31,2021,Equipment
CARBON PAPER 8.5X13,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,10.0,7250.0,8350.0,1100.0,2023-01-21,2023-06-23,2023,Government
BP APPARATUS DIGITAL W/ ADAPTOR (OMRON),electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,2.0,7000.0,13990.0,6990.0,2024-04-12,2024-04-12,2024,Hospital
WHEEL CHAIR ADULT,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,2.0,7000.0,9600.0,2600.0,2025-12-04,2025-12-04,2025,Hospital
LIQUID DETERGENT POWER CLEAN,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,3.0,6804.0,10494.0,3690.0,2022-10-09,2022-10-09,2022,Marinduque
TRASH BAG LARGE GREEN,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,20.0,6600.0,13860.0,7260.0,2022-10-09,2022-10-09,2022,Marinduque
DETERGENT POWDER 8GMS (SURF),janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1000.0,5860.0,19000.0,13140.0,2023-05-23,2023-05-23,2023,Government
FLASH DRIVE 32GB (KINGSTON),printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,4,4,2,4.2344,5585.12,7745.2,4160.08,2023-11-20,2024-02-08,2023;2024,Government;Pagbilao
INK CARTRIDGE BLACK (HP680),printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,10.0,5400.0,6492.0,1092.0,2023-06-27,2023-11-20,2023,Government
WATER TRAP,food_admin_other,food_admin_other,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,3.0,5400.0,11400.0,6000.0,2022-06-20,2022-06-20,2022,Supplies
WRISTBAND BP W/ BATTERY,electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,2.0,5000.0,7500.0,2500.0,2024-12-31,2024-12-31,2024,Government
STERILE WATER INJECTION 50 ML -SAHAR,food_admin_other,food_admin_other,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,100.0,4900.0,4600.0,300.0,2023-08-05,2023-08-05,2023,Government
RECORD BOOK 200PP,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,100.0,4800.0,4800.0,0.0,2023-01-21,2023-06-23,2023,Government
STERILE WATER FOR INJECTION (AMB),food_admin_other,food_admin_other,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,100.0,4800.0,8000.0,3200.0,2024-05-21,2024-05-21,2024,Hospital
DISTILLED WATER - 1 LTR,food_admin_other,food_admin_other,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,315.0,4765.95,9480.02,4714.07,2021-10-05,2021-10-05,2021,Government
"OFFICE TABLE 1,208 DT",equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,4692.0,14990.0,10298.0,2022-12-11,2022-12-11,2022,Government
BALLPEN BLACK FINE POINT PILOT,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,200.0,4600.0,5550.0,950.0,2023-05-19,2023-05-29,2023,Government
DISINFECTANT SPRAY 500ML (SOLBAC SURFACE),janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,12.0,4557.0,5460.0,903.0,2023-05-23,2023-05-23,2023,Government
ENERGIZER AAA RECHARGEABLE W/ CHARGER,electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,5.0,4475.0,4995.0,520.0,2023-04-17,2023-04-17,2023,Government
MASTER PAPER GESTENER CPMT 15,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,4.0,4462.08,31600.0,27137.92,2023-01-21,2023-06-23,2023,Government
HIGHLIGHTER STABILO,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,105.0,4410.0,5550.0,1140.0,2023-01-21,2023-06-23,2023,Government
CAUTERY PENCIL (ORMED),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,18.0,4320.0,6300.0,1980.0,2023-06-30,2023-08-26,2023,Hospital
POLO SHIRT WITH PRINT ALL SIZES,clothing_personal,clothing_personal,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,14.0,4200.0,6160.0,1960.0,2023-01-07,2023-01-07,2023,Government
THERMAL PAPER 110MMX20M (SONY),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,0.5,4100.0,5650.0,1550.0,2025-12-13,2025-12-13,2025,Government
SODIUM HYPOCHLORIDE ZONROX 1GALLON,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,4,4,0,34.0,4080.0,9747.0,5667.0,2023-01-02,2023-05-19,2023,Government
INK CARTRIDGE #303 (CANON),printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,4070.0,4496.0,426.0,2023-10-07,2023-10-07,2023,Government
UV LIGHT BULB (T530WG13UV),electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,4.0,3999.0,14000.0,10001.0,2023-10-21,2023-10-21,2023,Supplies
TEST TUBE RACK,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,7.0,3990.0,2800.0,1190.0,2022-06-30,2023-06-23,2022;2023,Government
ASEPTO IRRIGATING BULB - SIMPLEX,electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,90.0,3900.0,9570.0,5670.0,2021-11-15,2022-11-04,2021;2022,Government
ZONROX ORIGINAL 1LITER,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,115.0,3838.24,9115.0,5276.76,2022-05-11,2022-10-09,2022,Government;Marinduque
NON-PLEATED BOUFFANT CLIP CAP,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,15.0,3750.0,6750.0,3000.0,2022-05-31,2022-05-31,2022,Government
ECG THERMAL PAPER SIMPLEX 80MMX20MM,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,44.0,3740.0,11600.0,7860.0,2022-02-14,2022-05-31,2022,Government
TISSUE DISSECTING FORCEFS 5 1/2'' (1/2),janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,16.0,3696.0,7360.0,3664.0,2025-12-31,2025-12-31,2025,Hospital
"X-RAY FILM ENVELOPE 14""X17""",office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,4,4,0,8.0,3680.0,4873.0,1193.0,2023-01-06,2023-11-02,2023,Government
TOILET CLEANER LITER,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,60.0,3600.0,6294.0,9534.0,2022-10-09,2023-06-22,2022;2023,Marinduque;Quezon
HARD DRIVE 25M31T TRANSCEND STOREJET 25M3 1TB,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,3500.0,4995.0,1495.0,2023-04-17,2023-04-17,2023,Government
MESH CHAIR C-8179,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,3252.0,7990.0,4738.0,2022-12-11,2022-12-11,2022,Government
EXTERNAL HARD DRIVE 1TB (TOSHIBA),printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,3200.0,0.0,3200.0,2023-11-20,2023-11-20,2023,Government
"NOTEBOOK,STENOGRAPHER ,SPIRAL 60 LEAVES",office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,160.0,3200.0,4800.0,1600.0,2023-04-12,2023-11-20,2023,Government
DOUBLE SIDED TAPE,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,105.0,3150.0,5030.0,1880.0,2023-01-21,2023-06-23,2023,Government
BP - BULB,electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,20.0,3000.0,11000.0,8000.0,2021-08-31,2021-08-31,2021,Equipment
TRASH BAG - LARGE,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,64.0,2880.0,19960.0,17080.0,2021-07-23,2021-10-05,2021,Government
CLIP BACKFOLD 50MM 12PCS/BOX,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,40.0,2820.0,3440.0,620.0,2023-05-19,2023-05-29,2023,Government
TRASH BAG XXL GREEN,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,5.0,2750.0,4965.0,2215.0,2022-10-09,2022-10-09,2022,Marinduque
DISHWASHING LIQUID 1LITER,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,100.0,2700.0,12300.0,9600.0,2022-10-09,2022-10-09,2022,Marinduque
BP RUBBER BULB W/ CONTROL BULB (DENJECT),electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,20.0,2650.0,3020.0,370.0,2023-07-17,2025-11-29,2023;2025,Government
ZINC OXIDE TAPE: 2.5CM X 5CM FUJI,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,24.0,2640.0,11520.0,8880.0,2025-11-29,2025-11-29,2025,Government
"EXTERNAL HARD DRIVE 1TB 2.5'' HDD,USB (HIKVISION)",printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,2600.0,5000.0,2400.0,2023-05-29,2023-05-29,2023,Government
INK EPSON L3100 BLACK 003,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,10.0,2600.0,6500.0,3900.0,2023-05-19,2023-05-19,2023,Government
EXPANDABLE PLASTIC ENVELOPE LONG,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,150.0,2550.0,2250.0,300.0,2023-04-12,2023-04-12,2023,Government
TISSUE FORCEP SIZE 5 3/4'' (OLTEN),janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,10.0,2510.0,5000.0,2490.0,2025-09-20,2025-09-20,2025,Hospital
DETERGENT POWDER,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,29.0,2486.75,3760.0,1410.75,2021-10-05,2023-05-31,2021;2023,Government
SIGN PEN LIQUID GEL (DONG A),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,100.0,2400.0,10000.0,7600.0,2023-05-29,2023-05-29,2023,Government
SKIN STAPLER (SURGITECH),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,6.0,2400.0,1680.0,1680.0,2023-06-22,2023-06-26,2023,Hospital
FOLDER W/ TAB LEGAL 100'S/PACK,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,5.0,2350.0,2175.0,175.0,2023-05-29,2023-05-29,2023,Government
PAPER CLIP SMALL,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,22.0,2310.0,1200.0,1890.0,2023-01-21,2023-06-23,2023,Government
TISSUE FORCEF 5'',janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,10.0,2310.0,0.0,-2310.0,2025-12-31,2025-12-31,2025,Hospital
"X-RAY FILM ENVELOPE 11""X 14""",office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,7.0,2310.0,3420.0,1110.0,2023-03-14,2023-11-02,2023,Government
CARBON PAPER LONG,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,3.0,2115.0,853.0,1262.0,2023-06-27,2023-12-18,2023,Government
TARPAULIN,food_admin_other,food_admin_other,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,4,4,0,121.0,2002.0,6610.0,4608.0,2021-07-23,2023-07-14,2021;2022;2023,Government
XRAY ENVELOPE 14X17,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,3.0,1950.0,1680.0,-270.0,2025-12-13,2025-12-13,2025,Government
DISTILLED WATER - 6L,food_admin_other,food_admin_other,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,30.0,1927.5,3000.0,1072.5,2023-11-02,2023-11-02,2023,Government
BALLPEN RETRACTABLE BLACK 50'S (MATRIX),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,10.0,1900.0,2800.0,900.0,2024-04-03,2024-04-03,2024,Government
BP APPARATUS DIGITAL W/ ADAPTOR (INDOPLAS),electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,2.0,1900.0,3992.0,2092.0,2023-06-22,2023-06-22,2023,Government
FANCY FOLDER LEGAL,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,4.0,1800.0,2155.0,355.0,2023-04-17,2023-05-31,2023,Government
SURGICAL TAPE 1'' 12'S SUREGUARD,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,7.0,1750.0,7200.0,5450.0,2023-05-19,2023-05-19,2023,Government
MARKER PERMANENT BULLET TYPE BLACK (PILOT),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,51.0,1606.5,1938.0,331.5,2023-05-29,2023-06-27,2023,Government
CAUTERY PENCIL (ELECTRO SURGICAL PRODUCTS),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,4.0,1600.0,2200.0,600.0,2023-03-07,2023-03-07,2023,Government
PAPER CUPS 50'S,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,42.0,1596.0,3780.0,2184.0,2021-01-18,2021-01-18,2021,Government
SANDISK USB 16GB,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,5.0,1575.0,3995.0,2420.0,2023-04-17,2023-04-17,2023,Government
XRAY ENVELOPE 14X14,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,3.0,1530.0,1605.0,75.0,2025-12-13,2025-12-13,2025,Government
ASEPTO IRRIGATING BULB-PARTNERS,electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,30.0,1500.0,1950.0,450.0,2023-11-02,2023-11-02,2023,Government
LED LIGHT BULB 15WATTS,electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,10.0,1500.0,2350.0,850.0,2024-04-03,2024-04-03,2024,Government
"X-RAY FILM ENVELOPE 10""X 12""",office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,5.0,1500.0,2303.0,803.0,2023-06-22,2023-11-02,2023,Government
ZOEY PHOTO PAPER A-4 180GSM,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,30.0,1500.0,2400.0,900.0,2023-04-27,2023-04-27,2023,Government
PENCIL,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,4,4,0,16.0,1431.0,361.0,1198.0,2022-06-13,2023-04-17,2022;2023,Government
PANDA BALLPEN,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,13.0,1430.0,130.0,1300.0,2022-03-21,2022-03-21,2022,Government
BATTERY AAA EVEREADY 2S,electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,20.0,1400.0,2800.0,1400.0,2023-11-20,2023-11-20,2023,Government
CLIP BACKFOLD 32MM 12PCS PE BOX BINDER CLIP,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,40.0,1400.0,1800.0,400.0,2023-05-19,2023-05-29,2023,Government
PULSE OXIMETER ADULT WITH BATTERY (KINGMED),electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,4.0,1400.0,8820.0,7420.0,2024-11-07,2024-11-07,2024,Government
TISSUE PAPER,office_stationery,office_stationery;janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,5,5,0,18.0,1379.88,2615.0,2001.72,2021-09-08,2023-06-22,2021;2022;2023,Government;Supplies
DOUBLE OUTLET,electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,10.0,1350.0,1800.0,450.0,2024-04-03,2024-04-03,2024,Government
PLASTIC ENVELOPE ORD. G-4,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,180.0,1350.0,2700.0,1350.0,2023-03-23,2023-03-23,2023,Government
PILOT MARKER BLACK,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,44.0,1327.0,1630.0,303.0,2022-06-30,2023-05-31,2022;2023,Government
BALLPEN G-TECH 0.3 BLACK (PILOT),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,20.0,1300.0,0.0,1300.0,2023-11-20,2023-11-20,2023,Government
ECG PAPER 63X30,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,20.0,1300.0,2200.0,900.0,2023-01-23,2023-01-23,2023,Government
SCOTCH TAPE 24X50,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,100.0,1300.0,3800.0,2500.0,2023-01-21,2023-06-23,2023,Government
SIGN PEN,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,52.0,1300.0,4490.0,3190.0,2022-03-21,2023-05-04,2022;2023,Government
PAPER FASTERNER PLASTIC,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,40.0,1280.0,2000.0,720.0,2023-01-21,2023-06-23,2023,Government
WHITE BOARD MARKER,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,4,4,0,58.0,1276.0,3398.0,2122.0,2023-01-21,2023-06-23,2023,Government
"AUTOCLAVE TAPE 1""",office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,5.0,1250.0,2700.0,1450.0,2022-05-31,2022-05-31,2022,Government
BALLPEN ORDINARY FINE POINT 0.5 BLACK (FLEXSTICK),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,185.0,1202.5,2410.0,1207.5,2023-04-12,2023-10-07,2023,Government
XRAY ENVELOPE 11X14,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,3.0,1200.0,1290.0,90.0,2025-12-13,2025-12-13,2025,Government
TRASH BAG - YELLOW - SMALL,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,9.0,1170.0,5751.0,4581.0,2022-02-21,2022-02-21,2022,Marinduque
TOILET TISSUE 12'S (FEMME),janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,11.0,1155.0,1976.0,821.0,2023-03-23,2023-06-27,2023,Government
PLASTER ADHESIVE BANDAGE WATER RESIST (MEDIPLAST),food_admin_other,food_admin_other,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,11.0,1100.0,5183.0,4083.0,2024-03-18,2024-11-07,2024,Government;Hospital
